Group,Trial,Block,OneOption,Phase,BlockPhase,Frame_type,Target,Prompt,Audio_name,Picture,Gif1,Gif2,ReferentTarget,AttentionGrabber,AG_URL,AttentionGrabber_sound,,,,,,,,,,
B1,27,4,N,Filler,1Filler,find the car,car,"Where is the car, find the car?",find_car.mp3,,car.png,shoe.png,Gif1,attentiongrabber.gif,,chimes.mp3,,,,,,,,,,
B1,27,4,N,Filler,1Filler,Mismatch,find the car,car,"Where is the car, find the car?",find_car.wav,,car.png,shoe.png,Gif1,attentiongrabber.gif,,,,,,,,,,,
B1,28,4,N,Test,1Test,intransitive,nade,Find nading.,find_nading.mp3,,jump_to_split.gif,squat_caus.gif,Gif2,elmo.gif,,ElmoYeah.mp3,,,,,,,,,,
B2,9,1,Y,Exposure,1Exposure,transitive,lorp,"Look, sometimes, the boy lorps the girl. Wow, the boy really likes to lorp the girl.",boy_lorp_girl.mp3,warrior_short.gif,,,,,,,,,,,,,,,,
B2,10,1,N,Filler,1Filler,find the dog,dog,"Where is the dog, find the dog?",find_dog.mp3,,dog.png,fish.png,Gif1,attentiongrabber.gif,,chimes.mp3,,,,,,,,,,
B2,10,1,N,Filler,1Filler,Mismatch,find the dog,dog,"Where is the dog, find the dog?",find_dog.wav,,dog.png,fish.png,Gif1,attentiongrabber.gif,,,,,,,,,,,
B2,11,1,Y,Exposure,1Exposure,transitive,lorp,"Look, sometimes, the boy lorps the girl. Wow, the boy really likes to lorp the girl.",boy_lorp_girl.mp3,warrior_short.gif,,,,,,,,,,,,,,,,
B2,12,1,N,Filler,1Filler,find the shoe,shoe,"Where is the shoe, find the shoe?",find_shoe.mp3,,car.png,shoe.png,Gif2,elmo.gif,,ElmoYeah.mp3,,,,,,,,,,
B2,12,1,N,Filler,1Filler,Mismatch,find the shoe,shoe,"Where is the shoe, find the shoe?",find_shoe.wav,,car.png,shoe.png,Gif2,elmo.gif,,,,,,,,,,,
B2,13,1,N,Test,1Exposure,transitive,lorp,Find lorping.,find_lorping.mp3,,wiggle_ear_short.gif,disco_caus.gif,Gif1,attentiongrabber.gif,,chimes.mp3,,,,,,,,,,
B2,14,2,Y,Exposure,1Exposure,intransitive,pim,"Look, the boy and the girl like to pim together sometimes. Really they pim together a lot.",pim_intr.mp3,twist_waist_caus.gif,,,,,,,,,,,,,,,,
B2,15,2,N,Filler,1Filler,find the car,car,"Where is the car, find the car?",find_car.mp3,,car.png,shoe.png,Gif1,elmo.gif,,ElmoYeah.mp3,,,,,,,,,,
B2,15,2,N,Filler,1Filler,Mismatch,find the car,car,"Where is the car, find the car?",find_car.wav,,car.png,shoe.png,Gif1,elmo.gif,,,,,,,,,,,
B2,16,2,Y,Exposure,1Exposure,intransitive,pim,"Look, the boy and the girl like to pim together sometimes. Really they pim together a lot.",pim_intr.mp3,twist_waist_caus.gif,,,,,,,,,,,,,,,,
B2,17,2,N,Filler,1Filler,find the fish,fish,"Where is the fish, find the fish?",find_fish.mp3,,dog.png,fish.png,Gif2,attentiongrabber.gif,,chimes.mp3,,,,,,,,,,
B2,17,2,N,Filler,1Filler,Mismatch,find the fish,fish,"Where is the fish, find the fish?",find_fish.wav,,dog.png,fish.png,Gif2,attentiongrabber.gif,,,,,,,,,,,
B2,18,2,N,Test,1Test,intransitive,pim,Find tigging.,find_pimming.mp3,,stomp.gif,lift_head_caus.gif,Gif2,elmo.gif,,ElmoYeah.mp3,,,,,,,,,,
B2,19,3,Y,Exposure,1Exposure,transitive,mipe,"Look, sometimes, the girl also mipes the boy. Really, the girl likes to mipe the boy.",girl_mipe_boy.mp3,spin_chair_intr.gif,,,,,,,,,,,,,,,,
B2,20,3,N,Filler,1Filler,find the shoe,shoe,"Where is the shoe, find the shoe?",find_shoe.mp3,,car.png,shoe.png,Gif2,attentiongrabber.gif,,chimes.mp3,,,,,,,,,,
B2,20,3,N,Filler,1Filler,Mismatch,find the shoe,shoe,"Where is the shoe, find the shoe?",find_shoe.wav,,car.png,shoe.png,Gif2,attentiongrabber.gif,,,,,,,,,,,
B2,21,3,Y,Exposure,1Exposure,transitive,mipe,"Look, sometimes, the girl also mipes the boy. Really, the girl likes to mipe the boy.",girl_mipe_boy.mp3,spin_chair_intr.gif,,,,,,,,,,,,,,,,
B2,22,3,N,Filler,1Filler,find the dog,dog,"Where is the dog, find the dog?",find_dog.mp3,,dog.png,fish.png,Gif1,elmo.gif,,ElmoYeah.mp3,,,,,,,,,,
